filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
Nature_Shots_Level_3.png,36160,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,0,"{""name"":""polygon"",""all_points_x"":[49,49,23,23,46,47,26,26,46,46,25,23,4,0,22,23,1,0,22,25,1,2,21,23],""all_points_y"":[217,237,237,355,355,476,475,498,498,567,565,617,617,548,545,499,498,451,451,355,354,237,237,216]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Nature_Shots_Level_3.png,36160,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,1,"{""name"":""polygon"",""all_points_x"":[95,95,72,73,94,94,73,72,96,95,73,72,48,47,70,72,49,49,72,72,48,48],""all_points_y"":[216,261,261,308,308,449,449,496,497,592,591,496,496,428,428,333,332,261,261,239,237,216]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Nature_Shots_Level_3.png,36160,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,2,"{""name"":""polygon"",""all_points_x"":[118,118,142,142,120,118,142,142,120,120,141,143,189,189,166,165,143,142,165,165,146,143],""all_points_y"":[215,281,284,356,356,450,450,498,498,546,545,590,592,570,570,428,428,379,379,263,261,212]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Nature_Shots_Level_3.png,36160,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,3,"{""name"":""polygon"",""all_points_x"":[591,592,544,544,566,566,544,544,523,519,544,545,520,520,543,545,567,569,545,545,520,523,543,543,566,567],""all_points_y"":[308,402,403,476,476,593,594,639,640,571,570,499,498,405,405,380,380,333,333,307,307,237,238,284,285,308]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Nature_Shots_Level_3.png,36160,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,4,"{""name"":""polygon"",""all_points_x"":[592,592,614,614,590,593,613,615,590,592,613,613,636,636,615,614,639,636,614,614],""all_points_y"":[166,213,213,236,237,401,402,520,522,546,545,520,522,381,380,260,260,190,189,166]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Nature_Shots_Level_3.png,36160,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,5,"{""name"":""polygon"",""all_points_x"":[662,662,686,686,661,661,687,686,709,709,684,686,707,707,683,684],""all_points_y"":[166,213,213,260,260,380,380,474,474,380,380,259,259,213,211,168]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Nature_Shots_Level_3.png,36160,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,6,"{""name"":""polygon"",""all_points_x"":[710,710,734,734,709,709,731,731,710,709,687,687,709,709,754,755,734,733,754,754,733,731,754,754],""all_points_y"":[144,165,165,215,215,380,380,525,523,593,593,612,613,641,640,617,617,545,545,356,356,236,236,142]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Nature_Shots_Level_3.png,36160,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,7,"{""name"":""polygon"",""all_points_x"":[215,215,237,237,216,216,282,282,263,260,284,284,258,261,236,236],""all_points_y"":[666,686,686,712,712,750,755,713,713,687,687,666,666,688,687,665]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Nature_Shots_Level_3.png,36160,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,8,"{""name"":""polygon"",""all_points_x"":[592,592,593,614,615,592,592,662,660,640,638,660,659,636,639,617,614],""all_points_y"":[618,617,641,639,664,664,712,712,665,665,641,640,615,617,638,638,615]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
Nature_Shots_Level_3.png,36160,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",16,9,"{""name"":""polygon"",""all_points_x"":[591,591,613,613,590,593,614,613,592,590,544,543,520,522,543,543,565,566],""all_points_y"":[476,497,497,520,520,548,546,593,592,640,639,619,615,594,594,618,615,477]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
